County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Corson County, South Dakota",25.55,25.14,44.32,29.3,25.25
"Wright County, Minnesota",25.52,15,28.98,25.59,26.12
"Atchison County, Kansas",25.51,16.07,24.26,27.3,20.31
"McLeod County, Minnesota",25.43,21.88,25.63,25.59,26.37
"Lyon County, Minnesota",25.41,28.84,34.48,34.94,34.97
"Lake County, Colorado",25.4,9.34,65.85,59.33,35.11
"West Baton Rouge Parish, Louisiana",25.38,29.85,32.65,32.68,27.56
"Bandera County, Texas",25.37,12.99,17.44,19.88,12.11
"Rice County, Minnesota",25.34,19.23,29.11,28.24,28.76
"DeKalb County, Illinois",25.3,18.49,19.2,18.01,24.73
"Hancock County, West Virginia",25.24,25.36,16.92,32.17,32.34
"Lamb County, Texas",25.21,21.56,22.35,9.95,10.71
"Worcester County, Maryland",25.16,15.78,16.54,4.44,4.58
"Phillips County, Colorado",25.14,13.8,14.8,14.47,8.81
"Auglaize County, Ohio",25.1,25.35,26.28,30.28,26.63
"Stanton County, Kansas",25.1,20.31,19.58,4.29,5
"Watonwan County, Minnesota",25.07,22.42,19.65,17.57,16.61
"Elko County, Nevada",25.07,13.86,15.21,10.01,15.17
"Barton County, Kansas",25.05,33.61,33.96,25.68,35.28
"Lynn County, Texas",25.04,21.4,21.39,11.84,11.62
"Dewey County, South Dakota",24.95,22.66,13.81,30.87,18.78
"Orange County, New York",24.9,35.22,46.94,40.13,36.34
"Lewis County, New York",24.81,23.79,43.76,55.98,34.85
"Douglas County, Nebraska",24.81,23.97,27.72,28.68,31.61
"Denver County, Colorado",24.8,26.57,28.7,17.88,20
"Will County, Illinois",24.78,31.33,38.88,30.96,34.2
"Yankton County, South Dakota",24.77,32.94,33.96,28.22,29.55
"Oakland County, Michigan",24.76,24.05,25.31,24.91,18.92
"Jackson County, Texas",24.75,29.32,31.03,24.5,18.9
"Hettinger County, North Dakota",24.67,59.87,63.13,59.74,58.01
"Broome County, New York",24.62,31.02,33.1,30.28,31.95
"Catron County, New Mexico",24.62,8.05,14.2,14.59,18.2
"Tolland County, Connecticut",24.6,28.49,33,23.3,24.3
"Barber County, Kansas",24.6,19.98,19.07,14.57,13.45
"Ocean County, New Jersey",24.59,30.06,41.59,38.99,29.17
"Erie County, Ohio",24.57,25.6,27.79,22.77,28.5
"Ogle County, Illinois",24.55,14.35,16.37,12.68,8.3
"Deer Lodge County, Montana",24.54,27.96,49.58,44.76,16.93
"Spink County, South Dakota",24.52,33.55,30.61,23.33,22.86
"Lipscomb County, Texas",24.52,9.69,9.06,5.22,1.33
"Wells County, North Dakota",24.51,23.13,31.09,28.24,28.41
"Conejos County, Colorado",24.49,42.51,35.87,16.1,50.82
"Robertson County, Texas",24.42,16.38,13.28,14.53,5.32
"Mahoning County, Ohio",24.41,29.8,38.96,41.53,42.15
"Kalawao County, Hawaii",24.39,,,50,48.61
"Winona County, Minnesota",24.38,22.29,29.2,28.23,37.02
"Allamakee County, Iowa",24.33,23.91,45.73,37.79,32.73
"Washoe County, Nevada",24.31,14.36,16.16,10.26,14.04
"Teton County, Wyoming",24.29,6.56,9.53,5.2,5.34
"Curry County, New Mexico",24.22,20.38,20.41,18.46,19.57
"Pinellas County, Florida",24.21,12.32,12.16,15.39,12.64
"Kenton County, Kentucky",24.17,26.61,27.42,26.99,27.5
"Pepin County, Wisconsin",24.15,29.19,33.76,55.47,43.33
"Lexington city, Virginia",24.15,11.8,9.95,,
"Palo Alto County, Iowa",24.08,29.7,36.14,37.31,32.22
"Litchfield County, Connecticut",24.06,26.51,34.92,37.1,42.47
"Flagler County, Florida",24.02,18.84,21.1,21.06,15.87
"Cole County, Missouri",24.01,26.51,36.74,31.4,31.11
"Le Sueur County, Minnesota",23.97,17.01,39.01,42.56,41.84
"Putnam County, Illinois",23.95,17.73,27.11,25.92,21.96
"Barnstable County, Massachusetts",23.94,40.01,28.68,47.69,29.74
