County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Polk County, Iowa",0.04,0.42,0.56,0.66,0.31
"Cass County, North Dakota",0.04,0.05,0.45,0.32,0.28
"Sussex County, New Jersey",0.04,0.04,2.84,3.13,0.27
"San Bernardino County, California",0.04,0.06,0.18,0.44,0.14
"Lorain County, Ohio",0.04,0.05,0.27,0.31,0.13
"Kern County, California",0.04,0.07,0.24,0.26,0.1
"Floyd County, Georgia",0.04,0.11,0.11,0,0.07
"Taylor County, Texas",0.04,0.04,0.06,0,0.04
"Prince William County, Virginia",0.04,0.05,0.64,1.47,0.03
"Iredell County, North Carolina",0.04,0.1,0.07,0,0.03
"Denton County, Texas",0.04,0.06,0.02,1.33,0
"Washington County, Utah",0.04,,,,
"Niagara County, New York",0.03,0.07,0.07,0.18,0.14
"Sedgwick County, Kansas",0.03,,0.29,0.21,0.13
"Hidalgo County, Texas",0.03,0.05,0.09,0.12,0.1
"Arapahoe County, Colorado",0.03,0.03,1.35,2.43,0.01
"Adams County, Colorado",0.03,0.03,1.21,2.43,0
"Fort Bend County, Texas",0.03,0.12,0.45,1.29,0
"Cumberland County, Pennsylvania",0.03,0.44,0.94,1.1,0
"Williamson County, Texas",0.03,,,0.64,0
"Solano County, California",0.03,0.01,0.43,0.35,0
"Horry County, South Carolina",0.03,0.04,0.13,0.3,0
"Yuma County, Arizona",0.03,0.05,0.08,0.09,0
"Charles County, Maryland",0.03,0.12,,,
"St. Louis County, Missouri",0.02,1.83,4.63,2.18,1.51
"Wayne County, Michigan",0.02,0.01,0.41,2.15,0.17
"El Paso County, Colorado",0.02,0.15,0.29,0.38,0.17
"Tolland County, Connecticut",0.02,0.02,0.59,0.27,0.07
"Gwinnett County, Georgia",0.02,0.04,0.85,2.29,0
"Pasco County, Florida",0.02,0.03,0.29,0.36,0
"Madison County, Illinois",0.01,0.01,0.08,2.17,0.04
"Steuben County, New York",0.01,0.02,0.3,0,0.04
"Washington County, Oregon",0.01,0.01,0.7,0.63,0
"Forsyth County, North Carolina",0,0.2,0.16,0.34,0.1
"Orleans County, New York",0,,,2.29,0
"Cape May County, New Jersey",0,,1.5,0.45,0
"Larimer County, Colorado",0,0.04,0.4,0.31,0
"Columbia County, Georgia",,0.05,,0.51,1.14
"Desha County, Arkansas",,,0.23,0,0.83
"Harrison County, West Virginia",,,0.16,0.17,0.82
"Chemung County, New York",,,0.71,1.16,0.59
"Coahoma County, Mississippi",,,0.11,0.32,0.55
"Phillips County, Arkansas",,,0.13,0,0.51
"Woodbury County, Iowa",,0.36,0.39,0.64,0.48
"Lawrence County, Pennsylvania",,,0.21,0.21,0.47
"Warren County, Mississippi",,0.14,0.07,0.22,0.46
