County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Colbert County, Alabama",44.18,54.68,56.38,54.93,47.72
"Cleveland County, North Carolina",44.17,44.86,48.97,51.29,48.52
"Tate County, Mississippi",44.17,43.3,48.21,52.71,41.97
"Anderson County, Kentucky",44.13,44.21,47.42,48.95,52.4
"Quay County, New Mexico",44.12,47.55,48.93,47.75,43.75
"Choctaw County, Oklahoma",44.11,98.78,56.77,78.45,54.91
"Daviess County, Missouri",44.03,46.07,41.88,48.66,41.38
"Bibb County, Alabama",44.01,44.33,43.89,50.35,45.8
"Harlan County, Kentucky",43.89,41.51,42.39,46.15,38.89
"St. Clair County, Missouri",43.89,37.67,35.92,39.21,36.69
"Halifax County, Virginia",43.88,44.56,34.72,37.32,35.16
"Clay County, Arkansas",43.84,39.51,47.79,43.14,41.84
"Laurens County, Georgia",43.82,43.75,41.69,43.33,39.73
"Owen County, Kentucky",43.72,50.39,72.55,85.47,77.78
"Lynchburg city, Virginia",43.71,64.67,19.75,,
"Henderson County, Tennessee",43.62,40.56,41.56,41.16,36.62
"Lynn County, Texas",43.58,50.13,51.02,63.94,57.71
"Anderson County, Tennessee",43.55,48.33,55.74,54.38,50.05
"Refugio County, Texas",43.52,36.41,29.51,35.97,28.49
"Caldwell County, North Carolina",43.43,47.19,49.99,49.82,46.16
"Borden County, Texas",43.42,70.05,35.39,22.03,43.19
"Jackson County, Oklahoma",43.26,37.23,59.25,59.94,45.34
"Toombs County, Georgia",43.25,47.96,36.87,36.22,37.13
"Elbert County, Georgia",43.21,36.66,45.51,47.88,44.05
"Wilcox County, Georgia",43.19,42.76,48.79,63.87,58.08
"Comanche County, Texas",43.14,50.71,48.65,50.5,48.34
"Grady County, Georgia",42.99,41.37,44.46,47.73,43.76
"Schleicher County, Texas",42.96,32.27,32.61,40.7,30.46
"Jackson County, Arkansas",42.92,47.56,49.54,44.9,44.57
"Washington County, Mississippi",42.89,38.71,32.36,31.15,26.57
"Seminole County, Oklahoma",42.88,50.55,49.88,64.96,54.11
"Monroe County, Alabama",42.84,37.27,43.61,46.67,46.67
"Callahan County, Texas",42.79,51.95,46.42,54.92,48.93
"Andrews County, Texas",42.78,37.91,57.29,53.23,50.19
"Kay County, Oklahoma",42.78,34.23,35.73,38.71,37.61
"Richmond County, Virginia",42.72,40.89,34.71,45.98,36.61
"Archer County, Texas",42.66,48.16,49.63,49.47,43.35
"Warren County, Tennessee",42.62,46.83,44.56,48.19,44.01
"Colquitt County, Georgia",42.61,48.07,46.72,59.74,57.41
"Hutchinson County, Texas",42.6,56.31,65.89,63.07,50.68
"Hawkins County, Tennessee",42.6,46.79,52.1,59.93,47.9
"Robertson County, Tennessee",42.6,43.28,41.51,46.82,45.99
"Madison County, Missouri",42.54,34.39,46.76,43.27,32.91
"Galax city, Virginia",42.54,45.85,62.69,,
"Amite County, Mississippi",42.52,35.91,46.4,48.46,64.28
"Pendleton County, Kentucky",42.49,49.22,51.26,62.46,53.62
"Lee County, Mississippi",42.48,42.86,50.06,49.19,46.78
"Wichita County, Texas",42.46,46.9,41.82,46.87,41.08
"Noble County, Oklahoma",42.46,41.66,36.81,35.85,31.56
"Neshoba County, Mississippi",42.4,47.28,46.79,50.2,44.67
"Chester County, South Carolina",42.39,30.04,31.46,36.32,35.4
"Sumner County, Tennessee",42.37,33.7,32.19,36.62,29
"Norton County, Kansas",42.37,32.64,27.36,28,12.41
"Lawrence County, Arkansas",42.33,46.39,53,42.05,44.35
"Tyler County, Texas",42.3,48.19,52.8,59.63,53.86
"Hertford County, North Carolina",42.29,28.77,37.07,34.53,33.81
"Cherokee County, Alabama",42.24,41.81,43.52,50.72,52.54
"Concordia Parish, Louisiana",42.2,34.93,42.49,39.35,34.72
