County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Perry County, Mississippi",6.39,,,7.12,0
"Burke County, Georgia",6.38,7.95,,35.41,4.09
"Bossier Parish, Louisiana",6.37,5.88,,7.25,3.08
"Lamar County, Georgia",6.35,6.53,,19.86,12.34
"Warren County, North Carolina",6.35,0.56,,23.83,0
"Green County, Kentucky",6.3,,,,
"Calhoun County, Alabama",6.29,4.35,,10.38,4.3
"Freestone County, Texas",6.29,4.3,,6.27,0
"Camden County, Georgia",6.21,4.76,,3.39,0
"Southampton County, Virginia",6.17,3.35,,35.86,15.43
"Montgomery County, Mississippi",6.13,8.16,0.21,19.24,4.33
"Rockingham County, North Carolina",6.12,1.87,0.39,6.01,0
"Columbus County, North Carolina",6.11,6.21,,20.84,11.09
"Gibson County, Tennessee",6.11,3.95,,3.9,8.5
"Schley County, Georgia",6.11,3.89,,20.32,0
"Laurens County, South Carolina",6.09,8.1,,9.21,0
"Jackson Parish, Louisiana",6.07,4.53,,11.72,2.59
"Upshur County, Texas",6.05,2.23,,4.2,3.59
"Tuscaloosa County, Alabama",6.01,7.41,,15.41,9.65
"Surry County, Virginia",6.01,5.87,,23.97,0
"DeWitt County, Texas",5.96,,,3.71,0
"Lancaster County, South Carolina",5.95,6.48,,34.78,25.63
"Gregg County, Texas",5.95,4.5,,7.98,2.73
"Tunica County, Mississippi",5.93,2.43,,36.59,11.67
"Cass County, Texas",5.93,6.81,,6.81,10.89
"Clayton County, Georgia",5.9,3.13,,9.92,0
"Long County, Georgia",5.89,0.91,,8.27,0
"Saluda County, South Carolina",5.87,4.91,,14.24,4.64
"Hamilton County, Florida",5.87,4.57,0.27,14.46,0.18
"Tangipahoa Parish, Louisiana",5.86,6.01,,16.17,8.25
"Stewart County, Tennessee",5.86,,,,1.96
"Adams County, Indiana",5.86,,,,
"Dallas County, Texas",5.84,2.95,0.07,8.4,0.96
"Lincoln Parish, Louisiana",5.82,5.91,,10.85,2.5
"Tift County, Georgia",5.81,2.82,,10.46,1.02
"Forrest County, Mississippi",5.8,1.15,,9.48,0.38
"Berrien County, Michigan",5.8,4.1,,5.52,0
"Gray County, Kansas",5.8,,,,
"Conecuh County, Alabama",5.79,15.12,,42.68,18.38
"Wheeler County, Georgia",5.76,5.57,,17.76,0
"Washington County, Florida",5.73,5.02,,3.65,0
"Hitchcock County, Nebraska",5.73,,,,
"Lake County, Tennessee",5.71,4.39,,5.98,2.33
"Miller County, Arkansas",5.7,4.69,,8.73,4.1
"Winston County, Mississippi",5.7,15.86,,18.32,3.67
"Issaquena County, Mississippi",5.68,,,25.46,0
"Jasper County, Texas",5.66,3.57,,6.42,2.56
"Steuben County, Indiana",5.66,,,,
"Toombs County, Georgia",5.64,4.71,,8.85,0
"Union County, Kentucky",5.62,0.55,,4.59,3.79
"Pulaski County, Georgia",5.6,1.5,,19.06,2.57
"Humphreys County, Mississippi",5.6,11.03,,32.31,0
"Dewey County, Oklahoma",5.58,,,,
"Cherokee County, Texas",5.57,1.81,,5.64,6.7
"Pemiscot County, Missouri",5.56,3.82,,10.04,0
"Hamilton County, Tennessee",5.55,4.32,0.21,8.71,1.9
"Montgomery County, Georgia",5.55,5.98,,16.45,0
"Halifax County, Virginia",5.54,3.01,,12.5,5.79
"Meriwether County, Georgia",5.52,8,,26.7,9.92
"Philadelphia County, Pennsylvania",5.52,3.72,0.02,7.42,0.8
"Milwaukee County, Wisconsin",5.52,4.07,,6.8,0.56
"Cottle County, Texas",5.51,,,,
"Calcasieu Parish, Louisiana",5.5,4.58,,8.21,0.91
"Mississippi County, Missouri",5.5,4.65,,5.23,0
"Chesterfield County, South Carolina",5.49,7.16,,33.83,22.28
"Washington County, Georgia",5.49,10.04,,31.27,2.66
"Houston County, Alabama",5.49,3.8,,10.76,0
"Lenoir County, North Carolina",5.48,3.69,,20.77,8.61
"Morgan County, Georgia",5.47,3.34,,20.47,0
"Hampton city, Virginia",5.46,3.26,,10.65,0
"Etowah County, Alabama",5.41,4.61,,6.16,0.86
"St. Clair County, Illinois",5.41,3.81,,6.38,0.64
"Cook County, Illinois",5.4,2.87,0.01,6,0.64
"Allen Parish, Louisiana",5.4,2.24,,5.96,0.17
"Lunenburg County, Virginia",5.4,4.6,,17.19,0
"Covington County, Mississippi",5.39,3.83,,15.76,5.04
"Glynn County, Georgia",5.37,3.8,,8.17,0.51
"Attala County, Mississippi",5.36,3.52,,18.05,0.87
"Greene County, North Carolina",5.35,5.62,,28.92,7.18
"Cleveland County, North Carolina",5.35,5.39,,8.86,3.7
"Edgefield County, South Carolina",5.35,2.98,,20.46,0.21
"Jackson County, South Dakota",5.35,,,,
"Sharp County, Arkansas",5.33,,,,
"Panola County, Texas",5.31,2.45,,6.13,3.73
"Briscoe County, Texas",5.3,,,,
"Butler County, Alabama",5.27,7.91,,60.36,41.56
"Laurens County, Georgia",5.27,4.47,,16.14,1.95
"Cuyahoga County, Ohio",5.27,3.19,0.04,9.47,1.63
"Allen County, Ohio",5.25,4.09,,3.87,0.21
"Seminole County, Georgia",5.25,6.27,,18.96,0
"Dale County, Alabama",5.23,3.76,,8.77,0
"Gates County, North Carolina",5.21,5.09,,25.31,3.64
"Webster County, Kentucky",5.21,0.23,,4.69,2.82
"Hopkins County, Kentucky",5.21,1.92,,2.96,0.83
"Norton city, Virginia",5.21,3.03,,,
